id,title,media_type,genres,popularity,vote_average,vote_count,year,category,x,y,z,centroid_x,centroid_y,centroid_z,dist_from_centroid
496243,Parasite,movie,"Comedy, Thriller, Drama",37.4945,8.494,20537,2019,korean,0.05773962249925348,0.8493999999999999,0.5189780652986961,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.5159002236495858
1321179,The King's Warden,movie,"History, Drama",29.8197,7.1,15,2026,korean,0.04573450623116966,0.71,0.0003790558981097746,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.04134406292187795
1268127,Humint,movie,"Thriller, Action, Drama",28.2887,7.287,115,2026,korean,0.04333967730970769,0.7287,0.002906095218841605,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.052750167891400246
269955,Obsessed,movie,Drama,20.4582,6.681,80,2014,korean,0.031091011163719488,0.6681,0.0020216314565854646,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.0332925411562341
639988,No Other Choice,movie,"Comedy, Crime, Thriller",14.209,7.518,1000,2025,korean,0.021315854471361462,0.7518,0.025270393207318307,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.06773083640048394
396535,Train to Busan,movie,"Horror, Thriller, Action, Adventure",17.2302,7.748,8313,2016,korean,0.02604169192238752,0.7748,0.21007277873243707,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.2007241101469532
290098,The Handmaiden,movie,"Thriller, Drama, Romance",17.8842,8.186,4283,2016,korean,0.027064695263103476,0.8186,0.1082330941069443,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.1544671539799532
670,Oldboy,movie,"Drama, Thriller, Mystery, Action",16.257,8.238,9784,2003,korean,0.024519387868588188,0.8238,0.2472455271404023,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.2573369408613721
338803,The Treacherous,movie,"Drama, History, Crime",17.276,6.094,90,2015,korean,0.02611333344074347,0.6094,0.0022743353886586475,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.08112202688806126
287649,Scarlet Innocence,movie,"Thriller, Drama, Romance",13.5367,6.1,69,2014,korean,0.02026422580780896,0.61,0.001743657131304963,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.08140574527832982
963261,"Son's Girlfriend, Daddy's Girlfriend 2",movie,Romance,12.6328,4.0,2,2022,korean,0.01885032256671851,0.4,5.054078641463661e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.28711725878710775
936245,Hidden Face,movie,"Mystery, Thriller",17.0907,5.1,66,2024,korean,0.02582348249420728,0.51,0.0016678459516830083,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.1776606501474916
851644,20th Century Girl,movie,"Romance, Drama",12.4333,8.146,809,2022,korean,0.018538259621041397,0.8146000000000001,0.020443748104720508,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.13054781929401624
387848,Buddy's Mom,movie,"Drama, Romance",9.3522,5.7,15,2015,korean,0.01371872507504762,0.5700000000000001,0.0003790558981097746,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.12050517020173807
1231914,Female Workers: Romance at Work 3,movie,Romance,9.2282,4.0,1,2023,korean,0.013524761138887408,0.4,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.2874182899885053
438798,The Prison,movie,"Crime, Action",8.5874,7.0,107,2017,korean,0.012522405572020768,0.7,0.0027039320731830586,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.03724478047219815
17903,A Frozen Flower,movie,Drama,10.4725,6.854,157,2008,korean,0.01547112666924347,0.6854,0.003967451733548974,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.03147592895075672
737057,Suspicious Practice Room: Special Treatment of Mother's Friend,movie,"Drama, Romance",7.6963,3.75,4,2018,korean,0.011128524414662985,0.375,0.00010108157282927322,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.31238431288634916
585032,Sa Bang-ji,movie,"Drama, Romance, History",9.2544,6.6,5,1988,korean,0.013565743841527712,0.6599999999999999,0.00012635196603659154,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.043718025125671134
734367,Pretty Young Sister,movie,"Drama, Romance",7.3484,5.0,4,2020,korean,0.010584330435710262,0.5,0.00010108157282927322,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.1889149560859044
308624,The Story of Ong-nyeo,movie,"Romance, Drama",9.642,5.5,6,2014,korean,0.014172037564557535,0.55,0.00015162235924390984,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.13973406052561016
615173,The Witch Part 2 - The Other One,movie,"Action, Mystery, Thriller, Science Fiction",9.4631,7.371,437,2022,korean,0.013892197659887683,0.7371000000000001,0.0110431618315981,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.05844733034762755
982843,The Great Flood,movie,"Science Fiction, Adventure, Drama",8.8378,6.005,681,2025,korean,0.012914087585041065,0.6005,0.017209137774183765,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.0878829922625327
11423,Memories of Murder,movie,"Crime, Drama, Thriller",9.1699,8.057,4548,2003,korean,0.013433566804386277,0.8057000000000001,0.11492974830688366,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.1483139297571658
255709,Hope,movie,Drama,9.785,8.4,843,2013,korean,0.014395721781258424,0.8400000000000001,0.02130294147376933,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.15613164913842165
1420733,The Cursed: Insatiable Desires,movie,"Horror, Thriller",9.4003,6.0,8,2025,korean,0.013793964311574283,0.6,0.00020216314565854644,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.0922984501991017
1131759,Omniscient Reader: The Prophecy,movie,"Action, Adventure, Fantasy",8.8836,6.9,85,2025,korean,0.012985729103397015,0.6900000000000001,0.002147983422622056,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.03469661275919353
1267319,Mantis,movie,"Action, Crime, Thriller",7.9199,6.358,162,2025,korean,0.011478285189868013,0.6357999999999999,0.004093803699585566,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.059765468791168175
1236814,Swapping Workshop for Middle-aged Couples,movie,Romance,8.2036,9.0,1,2023,korean,0.011922055905099078,0.9,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.21794104187180444
286687,Love Lesson,movie,"Romance, Drama, Comedy",8.8556,6.8,42,2013,korean,0.012941930795231807,0.6799999999999999,0.0010613565147073688,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.035664923783223466
530254,The Witch: Part 1. The Subversion,movie,"Action, Mystery, Science Fiction",8.3863,7.898,725,2018,korean,0.012207839865877068,0.7898,0.01832103507530577,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.10723722062988383
122126,The Concubine,movie,Drama,11.8526,5.8,110,2012,korean,0.017629913994200795,0.58,0.002779743252805014,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.10976742917297645
1461254,Salmokji: Whispering Water,movie,"Horror, Thriller",7.0303,7.0,1,2026,korean,0.010086750370447655,0.7,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.0405692050417945
1317512,The World of Love,movie,Drama,6.5212,8.2,10,2025,korean,0.009290403274486658,0.82,0.0002527039320731831,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.1400939592371998
838209,Exhuma,movie,"Mystery, Horror, Thriller",7.5469,7.5,668,2024,korean,0.010894829156095763,0.75,0.016880622662488628,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.0696234576518356
646315,The Legendary Lighter,movie,Action,7.627,5.8,5,2019,korean,0.011020123601954092,0.58,0.00012635196603659154,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.11153839833634745
852878,Pretty Young Sister 3,movie,"Drama, Romance",5.9291,4.0,1,2020,korean,0.008364225479321646,0.4,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.28780112117457846
1232221,Mother-in-law in Love With Son-in-law 4,movie,Romance,9.0817,4.0,1,2023,korean,0.013295602133665868,0.4,2.5270393207318306e-05,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.28743333504053864
218746,Young Mother,movie,"Comedy, Romance",6.9958,5.0,20,2013,korean,0.010032784597886951,0.5,0.0005054078641463662,0.03228064365811465,0.6851736646539711,0.03057803260329088,0.18891430880917018
