id,media_type,title,original_title,release_date,vote_average,vote_count,popularity,overview,original_language,genres,poster_url,cast,trailer_url,scraped_at,category,popularity_normalized,rating_normalized,page_batch
1301421,movie,The Sheep Detectives,The Sheep Detectives,2026-05-08,7.85,10,40.551,"George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.",en,"Comedy, Family, Mystery",https://image.tmdb.org/t/p/w500/hTirV44jiLh6NqdiB6jtxPsDIoG.jpg,"Hugh Jackman, Emma Thompson, Nicholas Braun, Nicholas Galitzine, Molly Gordon, Hong Chau, Tosin Cole, Kobna Holdbrook-Smith",https://www.youtube.com/watch?v=826SRt1CFbg,2026-05-08,new_release,0.0632410196101601,0.7849999999999999,0
361743,movie,Top Gun: Maverick,Top Gun: Maverick,2022-05-27,8.153,10834,29.7091,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",en,"Action, Drama",https://image.tmdb.org/t/p/w500/n0YuM4f5lvGAP6MAW2kBIzugXnc.jpg,"Tom Cruise, Miles Teller, Jennifer Connelly, Bashir Salahuddin, Jon Hamm, Charles Parnell, Monica Barbaro, Lewis Pullman",https://www.youtube.com/watch?v=Klc__shdj88,2026-05-08,new_release,0.046294876550069815,0.8153,0
550,movie,Fight Club,Fight Club,1999-10-15,8.437,31919,27.8527,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",en,"Drama, Thriller",https://image.tmdb.org/t/p/w500/jSziioSwPVrOy9Yow3XhWIBDjq1.jpg,"Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto, Zach Grenier, Holt McCallany, Eion Bailey",https://www.youtube.com/watch?v=dfeUzm6KF4g,2026-05-08,new_release,0.04339327996858948,0.8436999999999999,0
1408208,movie,Exit 8,８番出口,2026-04-10,6.657,350,21.0914,"A man trapped in an endless sterile subway passageway sets out to find Exit 8. The rules of his quest are simple: do not overlook anything out of the ordinary. If you discover an anomaly, turn back immediately. If you don’t, carry on. Then leave from Exit 8. But even a single oversight will send him back to the beginning. Will he ever reach his goal and escape this infinite corridor?",ja,"Horror, Mystery",https://image.tmdb.org/t/p/w500/nQXYTvm6AY4WmtcPskroqC7Skh.jpg,"Kazunari Ninomiya, Yamato Kochi, Nana Komatsu, Naru Asanuma, Kotone Hanase, Hirota Otsuka, Tara Nakashima, Reo Soda",https://www.youtube.com/watch?v=zzEDWwhtAHc,2026-05-08,new_release,0.032825210066433186,0.6657,0
1418657,movie,The Yeti,The Yeti,2026-04-04,6.688,40,18.886,"When an oil tycoon and a famous adventurer vanish into the harsh winter of remote northern Alaska, a hand-picked rescue team endeavors to bring them home. What they don’t know is that they are trespassing on The Yeti’s territory, and the elements are the least of their worries.",en,"Horror, Thriller",https://image.tmdb.org/t/p/w500/zaqEfoKcWkVni2eONhJ7DRhMO8Q.jpg,"Brittany Allen, Eric Nelsen, Corbin Bernsen, William Sadler, Heather Lind, Jim Cummings, Christina Bennett Lind, Elizabeth Cappuccino",https://www.youtube.com/watch?v=7rXJdyv5cRQ,2026-05-08,new_release,0.029378118329309328,0.6688,0
949536,movie,Kill Code,Kill Code,2026-04-16,6.111,9,19.6685,"North America has been divided into four main quadrants. A power-hungry corporation has taken over the conventional prison system and made criminals the new law enforcers.  The owner of that corporation, nanoscientist Eion Prescott, created a nano-virus called Onyx. Which is distributed through deadly watches to criminals. First, infecting them. Then, forcing them into eliminating each other for freedom. Who can topple the corporation's entire system from within?",en,"Action, Thriller, Science Fiction, Drama",https://image.tmdb.org/t/p/w500/bXvSKLCillha6wxY0yxoRCM2WQl.jpg,"Franzi Schissler, Frank Grillo, Harvey Keitel, Tyrese Gibson, Peter Stormare, Jacob Artist, J. J. Soria, Brett Cullen",https://www.youtube.com/watch?v=HlIKFktkF_s,2026-05-08,new_release,0.030601184115243592,0.6111,1
744,movie,Top Gun,Top Gun,1986-05-16,7.062,9496,18.6301,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",en,"Action, Drama, Romance",https://image.tmdb.org/t/p/w500/xUuHj3CgmZQ9P2cMaqQs4J0d4Zc.jpg,"Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards, Tom Skerritt, Michael Ironside, John Stockwell, Barry Tubb",https://www.youtube.com/watch?v=Klc__shdj88,2026-05-08,new_release,0.028978140649283033,0.7062,1
539745,movie,Animal Farm,Animal Farm,2026-05-01,6.2,5,16.5126,"A satirical allegory of revolution and power that traces how a movement for equality is systematically corrupted. As the pigs consolidate control, truth is erased, dissent is crushed, and the farm descends into a ruthless dictatorship.",en,"Animation, Family, Comedy",https://image.tmdb.org/t/p/w500/6pzI1DIlxwAFffw9OZcG6cr031U.jpg,"Seth Rogen, Gaten Matarazzo, Woody Harrelson, Kieran Culkin, Glenn Close, Andy Serkis, Steve Buscemi, Kathleen Turner",https://www.youtube.com/watch?v=NN6J7l6ulYk,2026-05-08,new_release,0.025668438666259653,0.62,1
1317149,movie,I Swear,I Swear,2026-04-24,8.218,275,13.6553,"Diagnosed with Tourette Syndrome at 15, John Davidson navigates his way against the odds through troubled teenage years and into adulthood, finding inspiration in the kindness of others to discover his true purpose in life.",en,Drama,https://image.tmdb.org/t/p/w500/vUwyhNWBKkSwK8ELvEeBRwV724h.jpg,"Robert Aramayo, Maxine Peake, Peter Mullan, Shirley Henderson, Scott Ellis Watson, David Carlyle, Francesco Piacentini-Smith, Somerled Campbell",https://www.youtube.com/watch?v=10ynpduiRpM,2026-05-08,new_release,0.021202411995141498,0.8218,1
1242332,movie,Normal,Normal,2026-04-17,7.1,26,13.1215,"Interim sheriff Ulysses, called to the snowbound town of Normal, MN, uncovers an international criminal conspiracy at the heart of the seemingly quaint whistle-stop when he comes to the aid of a bank-robbing couple caught up in a deadly mess.",en,"Action, Crime, Thriller",https://image.tmdb.org/t/p/w500/dHP7nurzOYGHNcNK1O4naVzsGCv.jpg,"Bob Odenkirk, Henry Winkler, Lena Headey, Ryan Allen, Billy MacLellan, Brendan Fletcher, Peter Shinkoda, Jess McLeod",https://www.youtube.com/watch?v=5OndK0w1lYY,2026-05-08,new_release,0.020368070120979572,0.71,1
1127384,movie,Deep Water,Deep Water,2026-05-01,8.0,1,12.7542,A group of international passengers on a flight from Los Angeles to Shanghai is forced to make an emergency landing in shark-infested waters. The terrified group is forced to work together and overcome their differences if they hope to escape their sinking plane and the frenzy of sharks drawn to the wreckage.,en,"Thriller, Horror",https://image.tmdb.org/t/p/w500/2cikvQU83ecoZncnjOmAAATr3Sp.jpg,"Aaron Eckhart, Molly Belle Wright, Kelly Gale, Ben Kingsley, Angus Sampson, Rosie Zhao, Richard Crouchley, Rob Kipa-Williams",https://www.youtube.com/watch?v=f0ptq0Lzdh8,2026-05-08,new_release,0.01979397163769056,0.8,1
1515899,movie,Billie Eilish - Hit Me Hard and Soft: The Tour (Live in 3D),Billie Eilish - Hit Me Hard and Soft: The Tour (Live in 3D),2026-04-29,8.667,3,20.6095,"Captured during Billie Eilish's sold-out world tour, a concert experience from one of the most celebrated and successful artists of her generation, presented in immersive 3D.",en,"Music, Documentary",https://image.tmdb.org/t/p/w500/5fudu2BSuUcwsMycHDNA0l1FDPH.jpg,"Billie Eilish, James Cameron, FINNEAS, Maggie Baird",https://www.youtube.com/watch?v=9ElURjcuWLQ,2026-05-08,new_release,0.032071989105101915,0.8667,1
